,rhsc,xfsp,sfpc,zjxf
0,1174,630.0,2,1075
1,3341,186.0,1,1085
2,3029,1156.0,3,793
3,1098,704.0,1,641
4,1447,6031.0,3,1079
5,2491,1372.0,2,114
6,2638,5224.280000000002,3,42
7,2588,18576.0,12,121
8,2005,525.0,1,1087
9,719,24272.0,7,1033
10,1645,52156.44,24,203
11,1238,8329.0,4,1049
12,455,4773.0,1,1089
13,1052,1096.0,1,1085
14,840,4786.0,2,497
15,1001,8919.0,3,1060
16,610,147950.04000000007,48,472
17,682,6111.0,3,631
18,1452,1788.0,1,1021
19,1559,520.0,1,1037
20,2895,1970.0,1,132
21,1015,25020.94,11,786
22,2901,37589.0,9,1060
23,4635,16637.0,5,517
24,468,26164.0,6,1095
25,3528,97235.0,15,206
26,4785,550.0,1,1095
27,884,10975.0,6,657
28,2219,4550.0,5,233
29,1381,0.0,1,967
30,1540,1832.6,1,759
31,1141,2550.0,1,1095
32,1597,17155.7,4,1064
33,776,1210.0,1,899
34,4378,2934.0,1,753
35,1048,68798.45999999999,13,778
36,1127,3196.0,1,1073
37,39,29268.69,18,976
38,3336,557.0,1,45
39,25,6776.0,1,1059
40,738,5451.0,4,1075
41,1173,240.0,1,436
42,930,295.0,1,1023
43,763,260.0,1,494
44,541,3306.0,5,653
45,2448,1050.0,1,1070
46,3301,3000.0,1,185
47,1920,5534.44,2,1095
48,3211,22664.0,5,869
49,3233,17832.5,4,1060
50,2382,615.0,1,867
51,436,47425.0,11,227
52,796,7770.959999999999,2,195
53,1156,2190.0,1,1039
54,553,142324.28999999998,29,776
55,906,3168.0,2,1083
56,2877,2165.0,1,845
57,3485,6697.0,5,75
58,41,5699.7,2,860
59,246,13649.0,7,940
60,885,5413.0,1,1095
61,2121,45077.81,12,112
62,1851,3239.0,1,108
63,2589,18752.0,11,789
64,1083,850.0,1,924
65,1012,3080.0,1,491
66,4378,4150.0,4,850
67,1854,1647.0,1,1094
68,7,1910.0,2,227
69,4814,180.0,1,738
70,2163,4992.0,2,1060
71,1279,44061.23,10,1060
72,3679,31963.8,20,46
73,2323,63618.0,28,1070
74,20,1820.0,2,81
75,3331,1300.0,1,28
76,2263,42335.12,14,455
77,293,5707.0,4,492
78,607,253147.00000000003,45,1083
79,1211,2903.0,3,882
80,200,2727.14,2,118
81,1218,1939.5,1,1004
82,1232,26847.2,13,626
83,3134,1422.0,1,375
84,399,9670.0,3,744
85,3471,1089.0,1,129
86,701,3978.5,4,730
87,2544,17934.0,12,995
88,1495,170295.49,27,58
89,117,22346.4,3,776
90,1066,10730.0,2,1090
91,4192,40509.0,11,1053
92,523,19250.0,9,1094
93,1173,5620.0,4,1080
94,40,14211.4,3,1038
95,1044,5326.0,2,898
96,1086,185979.14,40,877
97,1587,580.0,1,553
98,1031,6779.0,2,435
99,1059,8730.0,2,1059
100,2422,2888.0,1,119
101,3187,1520.0,1,241
102,22,8917.0,4,931
103,2509,5916.0,2,576
104,1238,8174.0,6,1082
105,1456,1040.0,3,222
106,2122,3660.0,1,60
107,2777,9997.36,5,610
108,1345,12738.0,5,1038
109,2798,27293.800000000007,8,852
110,5243,2084.0,1,882
111,493,40592.8,16,1060
112,135,7600.0,1,891
113,3274,18463.0,11,175
114,4752,10170.0,1,514
115,2508,388.0,1,189
116,3489,32096.2,18,157
117,989,34361.6,7,13
118,2422,968.0,3,211
119,2944,33798.24,11,1059
120,1467,9895.0,4,66
121,3306,37993.1,12,1095
122,1191,62635.0,13,110
123,247,34961.4,10,709
124,862,2694.0,2,914
125,1839,7240.0,4,211
126,1465,11206.0,4,1082
127,1895,5.0,1,503
128,1780,15089.3,10,1094
129,3333,11696.0,14,485
130,2862,81327.4,20,1066
131,789,43985.36,22,1034
132,2173,38121.5,10,232
133,2445,43956.1,25,1095
134,1021,52155.16,22,1081
135,1230,1370.0,4,1071
136,1693,4000.0,2,604
137,53,16602.07,7,825
138,692,2115.0,1,1066
139,2341,87157.95999999999,36,542
140,3184,398.0,1,871
141,1248,320.0,1,1080
142,3311,2844.0,2,45
143,96,595.0,1,1079
144,3251,1380.0,1,528
145,2442,12415.0,3,1095
146,2818,7126.0,1,979
147,4433,5685.0,3,153
148,1168,10365.0,3,563
149,2473,4664.0,1,1074
150,63,74004.6,17,1080
151,645,27656.0,10,1041
152,3018,1557.0,1,725
153,289,46548.5,4,1069
154,1056,1240.0,1,436
155,1003,10643.96,10,862
156,102,270.0,1,109
157,1800,480.0,1,620
158,516,4604.0,1,693
159,2973,12941.0,12,882
160,3054,21250.44,10,1095
161,1335,28679.0,10,449
162,654,7970.0,2,228
163,4080,200.0,1,952
164,4922,8078.0,6,153
165,2127,960.0,2,80
166,2222,45813.9,23,632
167,2591,138.0,1,612
168,949,1800.0,2,826
169,4648,3941.0,1,708
170,4749,2689.0,2,642
171,715,1030.0,1,805
172,2362,6085.000000000001,2,544
173,58,8431.0,2,451
174,1777,2380.0,1,119
175,3225,4965.8,5,809
176,5009,1399.0,1,1086
177,971,747.0,1,1084
178,438,76688.4,17,164
179,2149,6255.0,1,812
180,772,125466.0,26,171
181,1188,4705.0,1,1094
182,177,64600.3,32,84
183,4850,29454.4,11,1095
184,727,38072.0,4,995
185,2448,1495.0,1,42
186,887,36938.9,18,583
187,863,242884.13,32,695
188,1301,2045.6,2,59
189,2976,14489.5,12,916
190,3162,1846.0,1,901
191,1719,6185.0,2,45
192,903,6392.0,1,1060
193,3337,899.0,1,863
194,2550,34178.0,5,438
195,867,4715.0,2,1030
196,35,4793.0,1,1045
197,2284,567.0,1,888
198,1678,123759.5,43,136
199,1552,3789.0,3,491
200,1920,210.6,1,1060
201,847,658.0,1,189
202,1007,7397.0,2,1094
203,947,7360.0,1,567
204,1236,10185.6,4,1073
205,2287,13660.0,1,1091
206,803,1495.0,1,610
207,489,8249.0,5,1042
208,2168,7167.0,4,104
209,2225,8330.0,3,135
210,3019,13004.0,19,1080
211,1099,9243.0,5,1080
212,568,56797.24,24,932
213,1041,36785.47,16,168
214,673,24156.28,5,1097
215,1493,10965.2,7,1059
216,2946,1370.0,1,700
217,641,7100.0,5,76
218,2073,25581.0,14,929
219,1883,182037.26,64,640
220,2826,2235.0,1,1025
221,3344,2059.0,2,851
222,3548,650.0,1,695
223,801,47590.0,10,996
224,8,216.0,1,809
225,10,6250.0,1,41
226,916,1604.0,1,1088
227,404,5330.0,2,181
228,1598,10380.0,1,1059
229,3155,7794.0,2,754
230,1043,1110.0,3,968
231,39,288.0,1,373
232,12,1250.0,1,833
233,1007,4560.0,2,893
234,959,4671.0,1,1076
235,3917,1060.0,2,206
236,26,260.0,1,156
237,1272,21344.6,9,1094
238,3265,1688.0,1,995
239,338,37429.0,23,519
240,1574,2868.0,2,1047
241,3347,2130.0,2,969
242,2091,9435.0,2,1061
243,1631,60090.1,14,823
244,1411,2460.0,3,786
245,2039,2728.0,3,1065
246,2487,27539.0,3,952
247,833,5715.0,2,142
248,2590,73841.2,8,1027
249,1719,32008.36,14,1098
250,1005,7358.0,7,786
251,897,50384.18,14,714
252,721,800.0,2,1008
253,3268,1070.0,3,36
254,34,1810.0,1,1096
255,405,30635.5,9,730
256,3043,1495.0,1,489
257,49,2064.0,1,237
258,2428,620.0,1,980
259,1092,27003.0,19,1003
260,1658,2900.0,2,47
261,2774,230.0,1,538
262,330,42044.0,1,997
263,1021,1979.0,1,43
264,866,998.0,1,631
265,1131,1630.0,1,656
266,1225,2844.0,2,731
267,1111,781.0,3,872
268,1840,640.0,1,1059
269,953,1719.0,1,976
270,4666,15600.0,1,131
271,1411,1220.0,1,187
272,1177,4809.4,4,1060
273,1554,995.0,1,879
274,505,8550.0,1,1016
275,551,94531.2,22,746
276,993,968.0,1,866
277,872,319595.87999999995,48,684
278,2714,2142.0,1,1060
279,977,1382.0,1,920
280,3222,820.0,2,995
281,6,32120.0,1,633
282,2332,1262.0,1,1061
283,8,243799.0,9,934
284,346,2980.0,2,919
285,988,8398.0,7,1063
286,660,169080.09999999998,46,566
287,1874,3668.0,1,1002
288,23,3443.0,2,1003
289,1819,12915.0,7,1063
290,2056,13711.0,7,1035
291,3026,3190.0,2,178
292,743,2152.0,1,883
293,345,19070.0,2,1059
294,3257,2276.0,2,227
295,1141,11274.0,3,1059
296,930,650.0,1,204
297,3596,10150.0,2,1060
