,kh,xb,rhsc,nl,jf,xfsp,gwspph,jjph,xfpc
0,8c8011fa,女,2096,44,4946.0,4946.0,"['科颜氏柜', '沙驰男装柜']",冬季,2
1,df5c408a,女,2871,35,3578.0,3578.0,"['BIOTHERM', 'Fancl柜']",春季,2
2,e2471fe6,女,1412,23,24062.620000000003,25174.0,"['BIOTHERM', 'LANCOME', ""科颜氏(Kiehl's)""]",夏季,25
3,c68d6c18,女,53,29,4134.0,6802.02,"['APM', 'DKNY 柜', 'ladanum&myteno']",秋季,4
4,2786b582,女,1752,56,1170.0,1170.0,['兰芝柜'],春季,1
5,37dc3873,女,1416,29,610.0,610.0,['Dior'],春季,1
6,b4ab3564,女,1260,23,3220.0,3220.0,"['Dior', 'YSL', 'CHANEL']",秋季,2
7,57ce0837,女,1337,29,3220.0,3220.0,"['Dior', 'CHANEL']",春季,1
8,0bcfb7d2,女,1175,29,1004.0,1104.0,['莎莎苏 柜'],夏季,1
9,fdb18cd6,女,907,26,1420.0,1420.0,['施华洛世奇柜'],夏季,1
10,d3219479,女,954,40,2936.0,2936.0,['CAGLIWASH'],夏季,1
11,6bbc6020,女,610,51,32720.0,36111.0,"['KODICE 柜', 'Marisfrolg', 'ZUCZUG']",冬季,11
12,10396ad7,男,2077,32,12639.0,12639.0,['极草柜'],冬季,1
13,a0593681,女,194,37,0.0,313.6,['CHANEL'],夏季,1
14,102a9d3f,女,19,33,18790.0,22287.239999999998,"['LANCOME', 'Dior', 'OHUI/后']",春季,14
15,942acc08,女,603,32,3240.0,3240.0,['CLEAR LUCERNE'],春季,1
16,7c07e902,女,2407,33,3020.0,3020.0,"['雅诗兰黛ESTEE LAUDER', 'OHUI/后']",秋季,3
17,df9fdb89,女,130,31,1957.0,1957.0,"['Embry Form(4F)', '朗姿柜']",秋季,1
18,1c13bb75,女,436,27,2628.0,2628.0,"['MO&CO.EDITION柜', 'YSL']",夏季,2
19,2c487508,女,1581,32,20153.0,48352.18,"['雅格名鞋廊', '兰芝柜', 'Ecco柜']",春季,22
20,1ea54eda,女,2528,53,2450.0,2450.0,"['La Clover', 'HEYIN']",秋季,2
21,b7632115,男,2186,28,693.0,3465.0,['瑞士钟表柜'],冬季,1
22,83a2f1ab,女,1760,43,78.0,7816.0,['周大福柜'],夏季,1
23,27f49f78,男,1000,50,1173.0,1173.0,['JAGuAR(柜）'],春季,1
24,54d82649,女,1171,42,46560.0,49800.0,"['兰蔻柜', 'LANCOME', '兰蔻(LANCOME)']",春季,7
25,c46e8626,女,41,22,5641.0,4160.5,"['雅诗兰黛ESTEE LAUDER', 'OHUI/后', '兰芝柜']",冬季,7
26,c1fea06c,女,1495,29,5077.0,6845.0,"['兰蔻柜', 'LANCOME', '周大福柜']",冬季,3
27,96a64a00,女,2761,38,70.0,70.0,['雅诗兰黛ESTEE LAUDER'],夏季,1
28,e7de77b4,女,3189,61,6400.0,6400.0,"['P-PLUS 柜', 'CARBANNIA（卡邦尼）', 'JORYA']",夏季,2
29,c570de5b,女,3152,30,1510.0,1510.0,"['YSL', '阿玛尼GIORGIO ARMANI']",冬季,1
30,b2635c1f,女,3261,47,18421.0,18621.2,"['LUKA DILONG', 'COACH 柜', '雅芳婷柜']",夏季,7
31,c495b8d3,女,166,30,3088.0,3806.2,['潘多拉(PANDORA)'],夏季,2
